Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
31	6214.3936	133.57315	6408.0117	6030.6294	6809.4307	164.39178	7096.235	6605.9014	1000.0	1000.0	123999	378.6922	106.35314	500.01025	-12.409033	378.69135	106.355896	500.21808	-6.9644003	3.27706	4.436166	43.86959	-12.122604	-378.83276	28.38079	2966.512134552002
32	6344.012	83.01999	6434.6597	6251.2407	6859.9233	126.98492	7031.882	6666.702	1000.0	1000.0	127999	386.67575	107.05475	513.5098	-16.149174	386.6754	107.05632	512.6702	-15.497323	3.3541312	4.4373198	35.41413	-13.974361	-386.80624	28.599373	3075.1202709674835
33	6479.0225	63.91135	6557.0884	6386.9814	4805.0464	2270.3533	6759.3716	1378.037	1000.0	1000.0	131999	394.10977	108.381615	520.1653	-36.680454	394.10904	108.383194	521.50525	-53.392757	3.4491007	4.4476943	39.151283	-12.913801	-394.2428	28.647284	3183.2802786827087
34	6345.431	176.7433	6545.3022	6104.006	6866.5127	76.10841	6968.2705	6734.5503	1000.0	1000.0	135999	401.79944	109.306816	532.02686	-0.8339963	401.79953	109.30779	529.7844	-30.168549	3.5181668	4.4603662	42.92384	-14.455535	-401.9048	29.179867	3291.5823011398315
35	6615.2183	162.39502	6787.6963	6387.941	7515.2593	211.23427	7993.707	7158.5615	1000.0	1000.0	139999	409.4592	109.404305	540.38306	-46.465183	409.45877	109.40576	537.0562	-28.432487	3.6047993	4.4435	40.80781	-13.087164	-409.55753	30.65421	3399.925686597824
36	6821.634	163.1535	7030.9766	6593.0645	7079.4673	1334.4985	7848.64	3105.554	1000.0	1000.0	143999	416.86917	110.55406	550.396	-14.486048	416.8686	110.55487	551.7448	-33.598587	3.675786	4.4454913	39.07214	-15.356325	-416.94656	31.056068	3507.762570142746
37	6644.8994	193.8058	6847.394	6394.7114	7166.522	90.99499	7354.2915	7024.21	1000.0	1000.0	147999	424.28815	111.02297	558.3228	-37.51674	424.28745	111.02352	559.0263	-25.98694	3.718855	4.4344163	40.180397	-13.131978	-424.3486	31.788069	3616.7839546203613
38	7037.808	157.77713	7187.2183	6773.966	7874.8022	150.55591	8142.731	7687.6943	1000.0	1000.0	151999	431.1223	112.36346	565.9128	-69.6085	431.12268	112.364716	569.659	-63.79432	3.847624	4.448884	46.62666	-12.615952	-431.1927	33.509697	3725.8987991809845
39	7002.291	65.94597	7083.1978	6900.414	7706.151	79.366234	7830.6777	7534.4775	1000.0	1000.0	155999	438.80972	112.53949	572.72064	-28.49446	438.809	112.54058	572.71045	-32.300735	3.9381387	4.4101415	43.147175	-14.240821	-438.86194	34.073154	3835.1721274852753
40	6964.825	127.393326	7170.314	6846.0283	7810.357	67.43887	7906.377	7688.0903	1000.0	1000.0	159999	445.7936	113.916245	584.21576	-23.894934	445.79327	113.91863	580.8955	-22.561443	4.033281	4.4442286	47.90377	-14.258816	-445.84467	34.06142	3944.9383244514465
41	6940.49	215.53424	7175.0312	6622.235	7970.586	209.2412	8242.887	7499.2393	1000.0	1000.0	163999	453.04492	114.50403	596.7978	-24.058067	453.0443	114.50596	597.1205	-14.739667	4.094525	4.424961	44.044544	-14.406082	-453.0891	36.313923	4055.0507802963257
42	7358.5894	117.56174	7473.651	7182.6914	8173.9673	208.02118	8435.056	7784.2256	1000.0	1000.0	167999	460.00827	115.36545	608.3973	-49.578957	460.00784	115.36647	608.58215	-42.236633	4.208611	4.4229193	38.555065	-13.538975	-460.05325	39.135048	4164.064672708511
43	7080.911	55.303223	7142.7046	6994.3545	7299.758	56.962364	7383.688	7182.3384	1000.0	1000.0	171999	466.6368	116.30488	611.28613	-66.889465	466.63715	116.306175	610.6949	-70.58107	4.3097467	4.455455	40.647583	-12.477577	-466.64374	42.314407	4273.582319736481
44	7330.8926	160.57843	7441.3237	7053.4165	7817.673	123.319336	7987.267	7563.2314	1000.0	1000.0	175999	472.47003	116.957016	616.0806	-53.002724	472.46872	116.95852	615.30365	-40.64417	4.40684	4.451504	39.429333	-13.2844715	-472.48245	41.860443	4382.082939147949
45	7418.245	82.36548	7525.484	7315.828	7869.2446	140.10597	8090.9937	7588.0576	1000.0	1000.0	179999	479.18372	116.91683	623.9426	-40.63846	479.18344	116.9191	623.8484	-34.161564	4.4052258	4.4110184	43.577663	-12.879715	-479.18542	40.959763	4490.771651029587
46	6465.288	1782.7239	7570.4854	3378.5842	8387.559	140.73483	8673.698	8131.7153	1000.0	1000.0	183999	485.42996	117.209785	627.8644	-165.73718	485.4297	117.21063	630.12787	-176.0863	4.4155965	4.3613906	37.391193	-12.399469	-485.40875	40.586315	4600.281902551651
47	7526.154	260.05615	7859.501	7207.5645	8033.2744	101.984634	8184.8027	7827.6104	1000.0	1000.0	187999	489.39633	121.88292	632.6139	-167.50127	489.39575	121.88502	633.1064	-167.35315	4.50997	4.401482	40.451775	-13.443846	-489.3367	43.143707	4709.229350328445
48	7427.703	219.29993	7645.76	7124.099	8107.5537	1181.136	8770.682	4595.1797	1000.0	1000.0	191999	494.664	122.664345	646.5276	-158.43913	494.66385	122.66451	646.49396	-175.6456	4.6433153	4.399266	43.24918	-14.815465	-494.61816	44.235165	4817.145715713501
49	7649.0605	159.42848	7863.5303	7416.2295	8092.815	101.61797	8259.941	7935.5664	1000.0	1000.0	195999	499.84872	123.25942	652.00476	-157.9193	499.84836	123.26118	652.09064	-162.82777	4.70571	4.3891764	58.38163	-15.987295	-499.7896	44.45881	4926.565043449402
50	7136.346	1099.4272	7815.7803	5233.831	8621.236	108.44481	8765.114	8393.369	1000.0	1000.0	199999	505.15204	124.76442	659.0425	-165.0741	505.15164	124.766495	659.0177	-169.2283	4.7219906	4.4099455	43.899033	-11.595604	-505.0994	43.526234	5036.2678508758545
51	7601.842	67.88517	7707.422	7522.0894	8596.011	184.2976	8857.506	8193.082	1000.0	1000.0	203999	509.39572	125.978226	661.7995	-165.19427	509.3954	125.97981	664.10956	-170.0654	4.669938	4.3914785	44.969315	-14.001178	-509.31378	47.049263	5145.5928835868835
52	7693.116	226.56133	7953.0137	7412.1577	8264.412	104.88222	8454.252	8113.9395	1000.0	1000.0	207999	514.22	126.21231	665.17566	-150.69064	514.22003	126.21484	664.84766	-153.28558	4.766623	4.4019485	39.770092	-15.175441	-514.134	45.26605	5254.55168056488
53	7793.0757	96.132164	7891.9565	7635.499	8744.326	81.755005	8843.523	8603.6455	1000.0	1000.0	211999	519.3408	125.96986	668.6791	-132.54172	519.3399	125.9728	669.4755	-136.2275	4.8687406	4.429961	50.29477	-12.619172	-519.23956	46.922905	5364.2010135650635
54	8103.748	256.7879	8501.106	7788.375	8695.797	99.75099	8857.232	8517.095	1000.0	1000.0	215999	524.4737	126.438354	673.29944	-127.910545	524.47327	126.440025	673.72144	-126.72142	4.882726	4.402047	47.327927	-13.91519	-524.374	44.727737	5473.96830034256
55	7985.971	123.99209	8098.4736	7787.8867	8812.185	180.66454	8996.445	8347.008	1000.0	1000.0	219999	529.0186	126.86369	678.6088	-113.39538	529.01807	126.86561	679.4961	-113.86416	4.873412	4.3965235	55.888866	-11.578855	-528.8801	45.111973	5583.484415054321
56	7775.637	180.01785	8013.4146	7542.289	8561.336	689.6329	9031.087	6548.3496	1000.0	1000.0	223999	533.5987	127.21037	682.42175	-97.21231	533.59814	127.21353	682.24817	-102.2768	5.0061927	4.385678	42.439484	-11.9153185	-533.47437	45.917404	5691.918401002884
57	8062.632	21.052448	8078.13	8026.935	7675.5103	75.166336	7830.0566	7553.566	1000.0	1000.0	227999	538.5097	126.79874	689.2658	-91.33351	538.509	126.80229	690.89996	-92.945435	5.082697	4.3982368	40.661457	-12.123329	-538.37024	46.810406	5800.301978826523
58	8042.7095	178.78882	8326.296	7860.803	9003.576	125.50082	9149.94	8682.739	1000.0	1000.0	231999	542.6629	127.366486	696.0913	-86.610435	542.66266	127.36897	696.1067	-89.163124	5.055417	4.3840938	45.495094	-12.52068	-542.48346	47.957214	5908.932481765747
