Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
46	-131.29305	151.25247	-19.366869	-598.3798	-161.8051	125.39279	-25.362127	-357.24072	270.6	529.5	183999	165.91182	85.06688	403.18823	-149.7084	-168.75873	49.308636	2865.3916006088257
47	-109.69423	178.68358	120.00033	-487.94934	97.80817	208.98824	542.05054	-131.35779	463.14285	548.8	187999	161.56323	84.34633	399.5626	-124.474495	-164.32722	50.313553	2930.8409717082977
48	8.282741	59.401035	108.73162	-44.789555	-448.50757	836.2349	-6.024028	-2261.476	1000.0	324.1	191999	157.20078	84.08379	408.16837	-157.76036	-159.95331	44.50085	2993.8628492355347
49	-148.06166	357.04666	193.92671	-913.6838	-465.52042	741.01465	376.74792	-1758.5703	812.8333	809.4	195999	153.26103	83.87466	403.38565	-152.96716	-155.93056	41.155743	3062.7109801769257
50	-70.17492	114.6607	87.08738	-311.72928	-896.6335	1210.7017	247.38412	-2640.839	448.625	805.6	199999	151.5048	84.104576	409.9316	-144.583	-154.15436	40.801422	3131.5133879184723
51	-36.829895	144.80215	298.9114	-204.25916	-66.12366	209.80486	402.30185	-511.49115	454.125	456.6	203999	150.15506	84.59105	453.10208	-151.34186	-152.8466	40.99124	3197.1883034706116
52	18.813105	109.61171	234.07343	-90.977875	-287.13284	244.57468	7.5537148	-762.8407	527.55554	440.1	207999	148.65788	83.97923	398.4796	-126.01364	-151.23425	39.337914	3261.315984249115
53	-151.96129	282.74722	283.06638	-670.4937	-3.850064	230.12862	348.16376	-397.64914	547.8571	522.4	211999	146.52711	82.90055	391.64984	-107.95729	-149.01656	37.956406	3326.6989846229553
54	15.233173	114.71901	267.8786	-156.8446	-19.183775	145.79276	331.1116	-182.57155	422.66666	620.2	215999	143.70311	81.28502	353.0644	-168.08461	-146.1614	35.927067	3395.457638978958
55	-70.84909	303.15747	268.97107	-465.97437	-11.7877445	379.59924	642.30115	-867.34094	867.75	482.7	219999	139.8345	78.24379	443.2591	-136.9418	-142.16907	33.001328	3461.8125586509705
56	-80.88819	349.15985	239.3953	-1194.727	11.182039	164.57437	291.58792	-189.17694	410.08334	665.1	223999	136.60194	75.467964	358.23315	-205.43176	-138.90308	31.233917	3530.7195682525635
57	31.73863	192.6358	483.92822	-174.57155	-18.51921	165.59201	365.41016	-179.10806	365.18182	428.2	227999	132.67366	72.576645	329.13693	-147.28508	-134.91225	30.873676	3596.4040982723236
58	-84.65091	183.27571	281.29282	-417.15454	-59.74528	494.966	619.294	-1363.5474	274.81818	442.1	231999	129.18018	69.15752	402.55542	-110.06248	-131.2769	29.761766	3663.1210782527924
59	-159.17485	244.66792	229.4258	-640.96704	-197.1959	320.98978	264.13574	-1058.5591	536.25	663.8	235999	125.39684	64.53248	384.49188	-131.37488	-127.47292	26.615328	3732.947098970413
60	-138.7387	334.55923	250.19778	-517.7418	-73.1804	92.811554	21.955359	-228.14641	846.0	669.3	239999	123.06912	59.475296	392.96716	-136.74733	-125.14749	26.165472	3802.1506114006042
61	67.37723	152.42569	363.2489	-151.84152	16.43727	488.64804	653.61444	-1160.5256	513.5	531.2	243999	119.60156	54.74133	352.5841	-126.07338	-121.59794	25.179184	3869.332935810089
